ponente,seccion,total,sentencias,autos,tutelas,favorables,desfavorables,pct_favorable,dur_prom_anios,dur_max_anios,salvamentos_recibidos,veces_que_salvo_voto
MYRIAM STELLA GUTIERREZ ARG,SECCION CUARTA,35,31,4,14,11,19,36.7,4.3,10,0,0
WILSON RAMOS GIRON B,SECCION CUARTA,35,35,0,9,9,13,40.9,4.1,9,3,0
CLAUDIA RODRIGUEZ VELASQUEZ B,SECCION CUARTA,34,32,2,20,10,20,33.3,5.4,8,4,0
LUIS ANTONIO RODRIGUEZ MONTANO B,SECCION CUARTA,34,33,1,17,11,23,32.4,6.9,26,6,0
ZORANNY CASTILLO OTALORA B,SECCION TERCERA,27,26,1,9,10,9,52.6,5.9,18,0,0
JORGE IVAN DUQUE GUTIERREZ B,SECCION SEGUNDA,21,20,1,14,7,10,41.2,5.0,9,0,0
CARLOS FERNANDO MANTILLA NAVARRO B,SECCION PRIMERA,20,13,7,5,2,10,16.7,7.6,13,0,0
LUIS EDUARDO MESA NIEVES B,SECCION SEGUNDA,17,16,1,10,4,8,33.3,7.3,17,0,0
ADRIANA POLIDURA CASTILLO B,SECCION TERCERA,12,3,9,3,3,2,60.0,3.9,15,0,0
JUAN CAMILO MORALES TRUJILLO B,SECCION SEGUNDA,11,11,0,1,0,1,0.0,6.1,12,0,0
FERNANDO ALEXEI PARDO FLOREZ B,SECCION TERCERA,10,8,2,9,1,4,20.0,0.0,0,0,0
OMAR JOAQUIN BARRETO SUAREZ B,SECCION QUINTA,7,0,7,1,4,2,66.7,0.0,0,0,0
JUAN ENRIQUE BEDOYA ESCOBAR B,SECCION SEGUNDA,5,5,0,0,2,0,100.0,7.0,10,1,0
DIEGO ENRIQUE FRANCO VICTORIA B,SECCION TERCERA,5,5,0,0,1,1,50.0,3.8,10,0,0
NUBIA MARGOTH PENA GARZON R,SECCION PRIMERA,4,4,0,0,0,0,,7.8,11,3,0
NUBIA MARGOTH PENA GARZON S,SECCION PRIMERA,4,4,0,0,0,0,,9.8,13,0,0
ADRIANA POLIDURA CASTILLO B,,3,0,3,0,1,2,33.3,0.3,1,0,0
PABLO ANDRES CORDOBA ACOSTA R,SECCION PRIMERA,3,3,0,0,0,0,,,,1,0
JORGE IVAN DUQUE GUTIERREZ B,,3,3,0,0,2,0,100.0,0.3,1,0,0
LUIS ALBERTO ALVAREZ PARRA B,SECCION QUINTA,2,2,0,2,1,0,100.0,,,0,0
WILSON RAMOS GIRON B,,2,2,0,0,2,0,100.0,1.0,2,0,0
ZORANNY CASTILLO OTALORA T,,1,1,0,0,0,1,0.0,0.0,0,0,0
CARLOS FERNANDO MANTILLA NAVARRO B,,1,0,1,0,0,0,,10.0,10,0,0
GERMAN EDUARDO OSORIO CIFUENTES R,SECCION PRIMERA,1,1,0,0,1,0,100.0,12.0,12,0,0
NUBIA MARGOTH PENA GARZON N,SECCION PRIMERA,1,1,0,0,0,0,,13.0,13,1,0
PABLO ANDRES CORDOBA ACOSTA B,SECCION PRIMERA,1,1,0,0,1,0,100.0,16.0,16,0,0
NICOLAS YEPES CORRALES B,,1,1,0,0,0,0,,1.0,1,0,0
CLAUDIA RODRIGUEZ VELASQUEZ B,,1,1,0,0,0,0,,0.0,0,0,0
CLAUDIA ESPERANZA RODRIGUEZ VELASQUEZ B,SECCION CUARTA,1,0,1,0,0,1,0.0,1.0,1,0,0
PABLO ANDRES CORDOBA ACOSTA B,,1,0,1,0,0,0,,0.0,0,0,0
