radicado,magistrado,tipo
05001233300020170222401,WILSON RAMOS GIRON CLAUDIA RODRIGUEZ VELASQUEZ,SALVAMENTO
05001233300020170248603,NICOLAS YEPES CORRALES,ACLARACION
05001233300020190147802,WILSON RAMOS GIRON CLAUDIA RODRIGUEZ VELASQUEZ,SALVAMENTO
05001233300020190152701,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
05001233300020200031001,ELLO PRESID ENTE,ACLARACION
05001233300020210155601,ERMAN EDUARDO OSORIO CIFUENTES NUBIA MARGOTH PENA GARZON,ACLARACION
05001233300020210155601,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
05001233300020210155601,RDOBA ACOSTA CARLOS FERNANDO MANTILLA NAVARRO PRESIDENTE,ACLARACION
05001233300020250124701,ELLO PRESIDENTE,ACLARACION
05001233300020250124701,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
05001233300020260076801,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
05001233300020260081001,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
05001233300020260081001,OMAR JOAQUIN BARRETO SUAREZ,SALVAMENTO
08001233100520140007601,PABLO ANDRES CORDOBA ACOSTA,ACLARACION
11001031500020210678800,ELLO PRESIDENTE,ACLARACION
11001031500020230703100,CTORIA CLAUDIA RODRIGUEZ VELASQUEZ MAGISTRADO MAGISTRADA,ACLARACION
11001031500020230703100,OMAR JOAQUIN BARRETO SUAREZ,ACLARACION
11001031500020230703100,SUAREZ PABLO ANDRES CORDOBA ACOSTA MAGISTRADO MAGISTRADO,ACLARACION
11001031500020230727400,CTORIA CLAUDIA RODRIGUEZ VELASQUEZ MAGISTRADO MAGISTRADA,ACLARACION
11001031500020250076101,JARAMILLO SIERRA CONSEJERO DE ESTADO CONJUEZ PRESIDENTE,ACLARACION
11001031500020250360001,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
11001031500020250397300,JUAN ENRIQUE BEDOYA ESCOBAR,ACLARACION
11001031500020250604201,ELLO PRESIDENTE,ACLARACION
11001031500020250649800,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
11001031500020250649800,NICOLAS YEPES CORRALES,ACLARACION
11001031500020260019302,ENCIOSO ADMINISTRATIVO SECCION QUINTA SALVAMENTO DE VOTO,SALVAMENTO
11001031500020260019302,GAS GIL PRESIDENTE LUIS ALBERTO ALVAREZ PARRA MAGISTRADO,ACLARACION
11001031500020260019302,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
11001031500020260019302,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,SALVAMENTO
11001031500020260046601,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260059801,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260059801,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,ACLARACION
11001031500020260109401,ENCIOSO ADMINISTRATIVO SECCION QUINTA SALVAMENTO DE VOTO,SALVAMENTO
11001031500020260140000,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
11001031500020260140000,OMAR JOAQUIN BARRETO SUAREZ,SALVAMENTO
11001031500020260216101,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260216101,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,ACLARACION
11001031500020260243900,LUIS ANTONIO RODRIGUEZ MONTANO,ACLARACION
11001031500020260243900,NICOLAS YEPES CORRALES,ACLARACION
11001031500020260279800,OMAR JOAQUIN BARRETO SUAREZ,SALVAMENTO
11001031500020260290101,ELLO PRESIDENTE,SALVAMENTO
11001031500020260308201,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260360301,ENCIOSO ADMINISTRATIVO SECCION QUINTA SALVAMENTO DE VOTO,SALVAMENTO
11001031500020260360301,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
11001031500020260373001,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,ACLARACION
11001031500020260391900,PEDRO PABLO VANEGAS GIL,ACLARACION
11001031500020260394900,GLORIA MARIA GOMEZ MONTOYA,SALVAMENTO
11001031500020260414100,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
11001031500020260414100,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
11001031500020260421700,ELLO PRESIDENTE,SALVAMENTO
11001031500020260422700,ENCIOSO ADMINISTRATIVO SECCION QUINTA SALVAMENTO DE VOTO,SALVAMENTO
11001031500020260422700,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,SALVAMENTO
11001031500020260442500,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
11001031500020260442500,LUIS ALBERTO ALVAREZ PARRA,ACLARACION
11001031500020260462100,ADMINISTRATIVO SECCION QUINTA SALVAMENTO PARCIAL DE VOTO,SALVAMENTO
11001031500020260465700,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260465700,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,ACLARACION
11001031500020260473600,ENCIOSO ADMINISTRATIVO SECCION QUINTA ACLARACION DE VOTO,ACLARACION
11001031500020260481500,ENCIOSO ADMINISTRATIVO SECCION QUINTA SALVAMENTO DE VOTO,SALVAMENTO
11001031500020260505300,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,ACLARACION
11001031500020260505300,OTIFIQUESE Y CUMPLASE PEDRO PABLO VANEGAS GIL PRESIDENTE,ACLARACION
11001031500020260520300,ELLO PRESIDENTE,SALVAMENTO
11001031500020260520900,OTIFIQUESE Y CUMPLASE PEDRO PABLO VANEGAS GIL PRESIDENTE,ACLARACION
11001032400020120015800,CARLOS FERNANDO MANTILLA NAVARRO,ACLARACION
11001032400020140037400,CARLOS FERNANDO MANTILLA NAVARRO,ACLARACION
11001032400020140037400,VARRO CONSEJERO DE ESTADO CONSEJERO DE ESTADO PRESIDENTE,ACLARACION
11001032400020170035800,CARLOS FERNANDO MANTILLA NAVARRO,ACLARACION
11001032400020200033900,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
11001032400020200033900,PABLO ANDRES CORDOBA ACOSTA,ACLARACION
11001032400020210053500,GERMAN EDUARDO OSORIO CIFUENTES,ACLARACION
11001032400020210053500,OSORIO CIFUENTES CONSEJERO DE ESTADO CONSEJERO DE ESTADO,ACLARACION
11001032500020190038600,MADO ELECTRONICAMENTE JORGE EDISON PORTOCARRERO BANGUERA,SALVAMENTO
11001032500020190038600,SUBSECCION B,SALVAMENTO
11001032500020190038600,TE ELIZABETH BECERRA CORNEJO JUAN ENRIQUE BEDOYA ESCOBAR,ACLARACION
11001032600020260002900,CONTENCIOSO ADMINISTRATIVO SECCION TERCERA SUBSECCION A,SALVAMENTO
11001032800020250020600,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,SALVAMENTO
11001032800020250020600,GAS GIL PRESIDENTE LUIS ALBERTO ALVAREZ PARRA MAGISTRADO,SALVAMENTO
11001032800020250020600,GLORIA MARIA GOMEZ MONTOYA,SALVAMENTO
11001032800020250020600,SUAREZ MAGISTRADO GLORIA MARIA GOMEZ MONTOYA MAGISTRADA,SALVAMENTO
11001032800020260002100,GLORIA MARIA GOMEZ MONTOYA,SALVAMENTO
11001032800020260016200,GAS GIL PRESIDENTE LUIS ALBERTO ALVAREZ PARRA MAGISTRADO,SALVAMENTO
11001032800020260016200,LUIS ALBERTO ALVAREZ PARRA,SALVAMENTO
11001032800020260016800,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,ACLARACION
11001032800020260016800,OTIFIQUESE Y CUMPLASE PEDRO PABLO VANEGAS GIL PRESIDENTE,ACLARACION
11001032800020260020700,ADO SALA DE LO CONTENCIOSO ADMINISTRATIVO SECCION QUINTA,ACLARACION
11001032800020260025400,OMAR JOAQUIN BARRETO SUAREZ,SALVAMENTO
11001032800020260025400,PARRA MAGISTRADO OMAR JOAQUIN BARRETO SUAREZ MAGISTRADO,SALVAMENTO
15001333301420180007601,WILSON RAMOS GIRON CLAUDIA RODRIGUEZ VELASQUEZ,ACLARACION
23001233100020000317701,ELLO PRESIDENTE,SALVAMENTO
